"filename", "language", "JSON with Comments", "TypeScript", "JavaScript", "XML", "Markdown", "JSON", "Prisma", "TypeScript JSX", "PostCSS", "WebAssembly Text Format", "comment", "blank", "total"
"c:\Users\mohit\Desktop\I\unicore_g\next.config.ts", "TypeScript", 0, 5, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 9
"c:\Users\mohit\Desktop\I\unicore_g\package-lock.json", "JSON", 0, 0, 0, 0, 0, 9015, 0, 0, 0, 0, 0, 1, 9016
"c:\Users\mohit\Desktop\I\unicore_g\package.json", "JSON", 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 1, 48
"c:\Users\mohit\Desktop\I\unicore_g\postcss.config.mjs", "JavaScript", 0, 0, 6, 0, 0, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\mohit\Desktop\I\unicore_g\prisma.config.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2, 15
"c:\Users\mohit\Desktop\I\unicore_g\prisma\schema.prisma", "Prisma", 0, 0, 0, 0, 0, 0, 295, 0, 0, 0, 1, 52, 348
"c:\Users\mohit\Desktop\I\unicore_g\proxy.ts", "TypeScript", 0, 29, 0, 0, 0, 0, 0, 0, 0, 0, 15, 10, 54
"c:\Users\mohit\Desktop\I\unicore_g\public\file.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\public\globe.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\public\next.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\public\vercel.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\public\window.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"c:\Users\mohit\Desktop\I\unicore_g\scripts\migrate-subjects.js", "JavaScript", 0, 0, 18, 0, 0, 0, 0, 0, 0, 0, 2, 4, 24
"c:\Users\mohit\Desktop\I\unicore_g\scripts\migrate-subjects.ts", "TypeScript", 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 25
"c:\Users\mohit\Desktop\I\unicore_g\tailwind.config.ts", "TypeScript", 0, 60, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 63
"c:\Users\mohit\Desktop\I\unicore_g\tsconfig.json", "JSON with Comments", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 35
"c:\Users\mohit\Desktop\I\unicore_g\verify-db.js", "JavaScript", 0, 0, 35, 0, 0, 0, 0, 0, 0, 0, 0, 6, 41
"c:\Users\mohit\Desktop\I\unicore_g\verify-db.ts", "TypeScript", 0, 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 31
"Total", "-", 34, 21905, 1409, 5, 56, 9206, 590, 8917, 270, 87811, 11328, 6626, 148157
