Date : 2026-03-27 22:49:51
Directory : c:\Users\mohit\Desktop\I\unicore_g
Total : 164 files,  130203 codes, 11328 comments, 6626 blanks, all 148157 lines

Languages
+-------------------------+------------+------------+------------+------------+------------+
| language                | files      | code       | comment    | blank      | total      |
| c:\Users\mohit\Desktop\I\unicore_g\app\page.tsx                                                  | TypeScript JSX          |         28 |          0 |          2 |         30 |
| c:\Users\mohit\Desktop\I\unicore_g\app\register\page.tsx                                         | TypeScript JSX          |        144 |          2 |         20 |        166 |
| c:\Users\mohit\Desktop\I\unicore_g\app\student\activate\page.tsx                                 | TypeScript JSX          |        217 |          8 |         23 |        248 |
| c:\Users\mohit\Desktop\I\unicore_g\components\admin\CSVUpload.tsx                                | TypeScript JSX          |        221 |          2 |         17 |        240 |
| c:\Users\mohit\Desktop\I\unicore_g\components\admin\InviteUser.tsx                               | TypeScript JSX          |        111 |          1 |         16 |        128 |
| c:\Users\mohit\Desktop\I\unicore_g\components\admin\modules\ModuleManager.tsx                    | TypeScript JSX          |        120 |          2 |         12 |        134 |
| c:\Users\mohit\Desktop\I\unicore_g\components\auth\AcceptInviteForm.tsx                          | TypeScript JSX          |        231 |          0 |         22 |        253 |
| c:\Users\mohit\Desktop\I\unicore_g\components\auth\LogoutButton.tsx                              | TypeScript JSX          |         45 |          0 |          7 |         52 |
| c:\Users\mohit\Desktop\I\unicore_g\components\auth\StudentLoginForm.tsx                          | TypeScript JSX          |        281 |          9 |         24 |        314 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\CTA.tsx                                    | TypeScript JSX          |         42 |          2 |          7 |         51 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Features.tsx                               | TypeScript JSX          |        108 |          2 |          4 |        114 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Footer.tsx                                 | TypeScript JSX          |         95 |          3 |          7 |        105 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Hero.tsx                                   | TypeScript JSX          |        129 |         11 |         12 |        152 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\HowItWorks.tsx                             | TypeScript JSX          |         79 |          4 |          5 |         88 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Modules.tsx                                | TypeScript JSX          |        118 |          1 |          6 |        125 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Navbar.tsx                                 | TypeScript JSX          |        152 |         10 |         14 |        176 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Pricing.tsx                                | TypeScript JSX          |        136 |          1 |          8 |        145 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Stats.tsx                                  | TypeScript JSX          |         32 |          0 |          2 |         34 |
| c:\Users\mohit\Desktop\I\unicore_g\components\landing\Testimonials.tsx                           | TypeScript JSX          |         79 |          1 |          6 |         86 |
| c:\Users\mohit\Desktop\I\unicore_g\components\layout\forbidden.tsx                               | TypeScript JSX          |         60 |          1 |          8 |         69 |
